market_id,selection_id,race_time,reference_price,reference_time,price_at_flag,time_at_flag,percentage_drop,actual_sp,outcome,result
1.260801768,100487837,2026-08-06 09:16:00+00:00,7.8,72.276,6.8,12.219,12.820512820512825,,LOSER,2.764705882352942
1.260955835,43979923,2026-08-11 06:03:00+00:00,9.2,89.77,8.2,29.707,10.869565217391305,,LOSER,1.6097560975609753
1.260955838,54712534,2026-08-11 06:37:00+00:00,11.0,89.718,8.6,29.771,21.818181818181824,,LOSER,8.83720930232559
1.260955841,80452858,2026-08-11 07:12:00+00:00,7.6,89.706,6.6,29.775,13.157894736842104,,WINNER,2.969696969696976
1.260956651,101449196,2026-08-11 03:12:00+00:00,7.8,88.961,6.4,28.937,17.948717948717942,,LOSER,6.0625
1.261064332,101611990,2026-08-14 11:50:00+00:00,7.0,67.385,5.8,7.34,17.142857142857146,,LOSER,5.517241379310349
1.261064334,82081240,2026-08-14 12:25:00+00:00,10.5,67.347,9.2,7.384,12.380952380952388,,LOSER,2.500000000000007
1.261064334,82860316,2026-08-14 12:25:00+00:00,2.9,67.347,2.6,7.384,10.344827586206891,,LOSER,1.3076923076923066
1.261064568,101639226,2026-08-15 09:10:00+00:00,6.0,70.097,5.3,10.089,11.66666666666667,,WINNER,2.075471698113212
1.261173161,68190873,2026-08-17 04:39:00+00:00,4.9,84.094,4.3,24.144,12.244897959183684,,LOSER,2.418604651162802
1.261173163,101669872,2026-08-17 05:10:00+00:00,2.84,84.327,2.5,24.111,11.971830985915489,,LOSER,2.256
1.261173167,2013919,2026-08-17 06:20:00+00:00,13.5,84.126,9.8,24.11,27.4074074074074,,WINNER,13.367346938775512
1.261173171,38778767,2026-08-17 07:33:00+00:00,4.8,84.096,4.2,24.136,12.499999999999991,,LOSER,2.5714285714285694
1.261173171,82905561,2026-08-17 07:33:00+00:00,7.6,84.096,6.8,24.136,10.52631578947368,,WINNER,1.411764705882355
1.261605686,52720579,2026-08-28 11:35:00+00:00,10.0,67.514,9.0,7.394,10.0,,LOSER,1.1111111111111145
1.261605686,60183320,2026-08-28 11:35:00+00:00,5.7,67.514,5.0,7.394,12.280701754385968,,LOSER,2.440000000000005
1.260859127,82895286,2026-08-09 03:37:00+00:00,5.3,86.978,4.6,27.071,13.207547169811324,,WINNER,3.0
1.26085913,101418697,2026-08-09 04:17:00+00:00,10.0,86.946,8.6,26.982,14.000000000000004,,LOSER,3.4883720930232585
1.260859136,101418707,2026-08-09 05:35:00+00:00,6.8,87.042,6.0,27.018,11.764705882352938,,WINNER,2.133333333333333
1.26057264,62869667,2026-08-01 05:20:00+00:00,11.0,83.695,9.2,23.644,16.36363636363637,,LOSER,5.000000000000007
1.26095863,100918507,2026-08-11 11:02:00+00:00,3.45,83.039,3.1,22.968,10.144927536231886,,LOSER,1.1935483870967758
1.26103801,101609932,2026-08-15 01:35:00+00:00,8.6,66.532,7.2,6.545,16.279069767441857,,LOSER,4.944444444444443
1.261038028,101609951,2026-08-15 02:45:00+00:00,10.5,66.53,9.0,6.5,14.285714285714285,,WINNER,3.666666666666672
1.261096139,60816440,2026-08-15 10:56:00+00:00,7.8,75.325,6.4,15.298,17.948717948717942,,LOSER,6.0625
1.261096141,58108429,2026-08-15 11:24:00+00:00,4.8,75.521,4.3,15.372,10.416666666666668,,LOSER,1.3488372093023244
1.261096143,65090473,2026-08-15 11:52:00+00:00,12.0,75.45,9.6,15.32,20.000000000000004,,LOSER,7.5
1.261096271,90017650,2026-08-15 07:47:00+00:00,9.2,88.585,8.2,28.631,10.869565217391305,,LOSER,1.6097560975609753
1.26109727,40866311,2026-08-16 04:35:00+00:00,5.9,79.19,4.8,19.285,18.644067796610177,,WINNER,6.541666666666671
